DATAFLOW,LAST UPDATE,freq,itm_newa,indic_ag,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2012,1029.21,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2013,717.58,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2014,769.41,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2015,728.38,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2016,749.33,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2017,754.06,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2018,776.48,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2019,801.97,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2020,834.08,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2021,1129.15,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2012,606.09,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2013,513.17,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2014,451.63,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2015,453.76,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2016,305.91,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2017,376.77,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2018,417.79,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2019,435.90,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2020,486.37,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2021,618.04,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BG,2012,1311.49,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BG,2013,1258.57,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BG,2014,1330.84,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BG,2015,1228.73,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BG,2016,1199.37,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BG,2017,1246.43,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BG,2018,1443.72,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),15/07/22 23:00:00,A,01000,PROD_BP,MIO_EUR,BG,2019,1499.80,
